"Time (s)";"Latitude (°)";"Longitude (°)";"Altitude (m)";"Altitude WGS84 (m)";"Speed (m/s)";"Direction (°)";"Distance (km)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)";"Satellites"
5,948617070E2;5,596618111E1;-3,020723020E0;1,666574444E3;1,720255859E3;9,565000153E1;1,316999969E2;3,372171442E1;1,413799000E1;1,225641346E1;1,000000000E1
5,968631462E2;5,596483150E1;-3,018711570E0;1,672307382E3;1,725985352E3;9,515000153E1;1,378999939E2;3,391839552E1;1,417480373E1;1,194680500E1;1,100000000E1
5,988632888E2;5,596345810E1;-3,016720090E0;1,678337135E3;1,732011719E3;9,577999878E1;1,386999969E2;3,411534950E1;1,471435356E1;1,229197311E1;1,100000000E1
6,008615019E2;5,596207007E1;-3,014754260E0;1,682951781E3;1,736623047E3;9,625000000E1;1,413000031E2;3,440931227E1;1,511135769E1;1,248180389E1;1,200000000E1
6,038632550E2;5,595997965E1;-3,011862970E0;1,690339682E3;1,744006104E3;9,640000153E1;1,421000061E2;3,451566596E1;1,785537910E1;1,390234280E1;1,000000000E1
6,048620299E2;5,595916247E1;-3,010975060E0;1,690975093E3;1,744640137E3;9,848999786E1;1,433999939E2;3,462532025E1;1,731396103E1;1,366037655E1;1,000000000E1
6,058640462E2;5,595827889E1;-3,010192770E0;1,691538215E3;1,745202148E3;9,919000244E1;1,438999939E2;3,472289320E1;1,661264038E1;1,355274677E1;9,000000000E0
6,068627126E2;5,595754925E1;-3,009321980E0;1,691663876E3;1,745326416E3;9,933999634E1;1,483999939E2;3,482206738E1;1,733892441E1;1,363795853E1;1,000000000E1
6,078623202E2;5,595678420E1;-3,008503040E0;1,691467627E3;1,745128906E3;9,918000031E1;1,511000061E2;3,492623713E1;1,817297745E1;1,379723835E1;9,000000000E0
6,088629017E2;5,595594166E1;-3,007771400E0;1,693419581E3;1,747079834E3;9,961000061E1;1,543000031E2;3,512818182E1;1,958455276E1;1,456210709E1;9,000000000E0
6,108637857E2;5,595427652E1;-3,006476340E0;1,695071434E3;1,748729980E3;9,901000214E1;1,596000061E2;3,523199450E1;2,472408676E1;1,561991787E1;9,000000000E0
6,118630997E2;5,595339726E1;-3,005915670E0;1,695843069E3;1,749500977E3;9,919000244E1;1,648999939E2;3,533224198E1;2,827195740E1;1,650810814E1;1,100000000E1
6,128628148E2;5,595255748E1;-3,005329890E0;1,696275425E3;1,749932617E3;9,923000336E1;1,683000031E2;3,543864178E1;3,143467140E1;1,750672150E1;1,100000000E1
6,138631983E2;5,595161407E1;-3,005044170E0;1,698174121E3;1,751831299E3;9,861000061E1;1,721999969E2;3,553506938E1;3,137569046E1;1,800656891E1;1,400000000E1
6,148655509E2;5,595078128E1;-3,004612230E0;1,698158157E3;1,751814941E3;9,801000214E1;1,746000061E2;3,564594464E1;3,535753250E1;1,852773285E1;1,400000000E1
6,158639313E2;5,594978787E1;-3,004458640E0;1,700019676E3;1,753676758E3;9,854000092E1;1,771000061E2;3,575290802E1;3,243384552E1;1,774369621E1;1,400000000E1
6,168639313E2;5,594882598E1;-3,004476970E0;1,700894766E3;1,754552490E3;9,859999847E1;1,796999969E2;3,586223376E1;3,177815628E1;1,734826851E1;1,300000000E1
6,178639313E2;5,594784297E1;-3,004510570E0;1,702401646E3;1,756060059E3;9,923000336E1;1,816000061E2;3,596665644E1;3,093210411E1;1,760366821E1;1,400000000E1
6,188639313E2;5,594690389E1;-3,004520280E0;1,702546056E3;1,756205078E3;9,944000244E1;1,833999939E2;3,606945947E1;3,082623100E1;1,782789612E1;1,300000000E1
6,198639313E2;5,594598152E1;-3,004633070E0;1,702868969E3;1,756528809E3;1,001999969E2;1,833999939E2;3,617832978E1;3,285932922E1;1,818401146E1;1,000000000E1
6,208639313E2;5,594500712E1;-3,004804080E0;1,703575271E3;1,757236084E3;1,016600037E2;1,858999939E2;3,628711496E1;3,507961655E1;1,956546974E1;9,000000000E0
6,218639313E2;5,594402889E1;-3,004828890E0;1,703736959E3;1,757398438E3;1,026900024E2;1,813999939E2;3,639469837E1;3,810014725E1;2,086794472E1;7,000000000E0
6,228639313E2;5,594306282E1;-3,004923470E0;1,703950997E3;1,757613281E3;1,031500015E2;1,821999969E2;3,650368356E1;4,266046524E1;2,201236343E1;7,000000000E0
6,238639313E2;5,594209406E1;-3,005189250E0;1,705213987E3;1,758877441E3;1,037500000E2;1,828999939E2;3,660670066E1;4,459521103E1;2,219690895E1;6,000000000E0
6,248639313E2;5,594118446E1;-3,005503370E0;1,706137558E3;1,759802246E3;1,039300003E2;1,841000061E2;3,671608749E1;4,798950195E1;2,347124290E1;7,000000000E0
6,258639313E2;5,594022400E1;-3,005883240E0;1,707097090E3;1,760763184E3;1,048099976E2;1,853000031E2;3,682575456E1;5,265518188E1;2,473649216E1;7,000000000E0
6,268639313E2;5,593926043E1;-3,006258800E0;1,708402333E3;1,762069824E3;1,057200012E2;1,888999939E2;3,693134602E1;5,744408417E1;2,584719849E1;7,000000000E0
6,278639313E2;5,593834184E1;-3,006688600E0;1,709304170E3;1,762973145E3;1,057099991E2;1,933000031E2;3,703433153E1;6,167896271E1;2,654165840E1;8,000000000E0
6,288639313E2;5,593746829E1;-3,007238050E0;1,711164035E3;1,764834717E3;1,050299988E2;1,928000031E2;3,713279247E1;6,498703003E1;2,710757446E1;8,000000000E0
6,298639313E2;5,593679150E1;-3,008257500E0;1,712985922E3;1,766659180E3;1,035100021E2;1,951000061E2;3,723147375E1;5,577010727E1;2,773231125E1;8,000000000E0
6,308639313E2;5,593603120E1;-3,009074750E0;1,715146807E3;1,768822266E3;1,024100037E2;1,976000061E2;3,732921760E1;5,176585770E1;2,853702736E1;8,000000000E0
6,318639313E2;5,593527069E1;-3,009861760E0;1,717274554E3;1,770952148E3;1,023099976E2;1,990000000E2;3,743331281E1;4,516999435E1;2,891865730E1;8,000000000E0
6,328639313E2;5,593437322E1;-3,010337220E0;1,718372599E3;1,772051758E3;1,026900024E2;1,995000000E2;3,753422418E1;4,021323395E1;2,945456314E1;8,000000000E0
6,338639313E2;5,593354071E1;-3,010982180E0;1,719338737E3;1,773019775E3;1,028300018E2;2,003000031E2;3,763765739E1;3,757640839E1;2,968038177E1;8,000000000E0
6,348639313E2;5,593269398E1;-3,011669700E0;1,720192227E3;1,773875244E3;1,027399979E2;2,008999939E2;3,773947137E1;3,467761230E1;2,947821045E1;8,000000000E0
6,358639313E2;5,593184414E1;-3,012278130E0;1,720382553E3;1,774067383E3;1,028700027E2;2,015000000E2;3,784050857E1;3,381022644E1;2,909764099E1;8,000000000E0
6,368639313E2;5,593099594E1;-3,012859880E0;1,720849548E3;1,774536133E3;1,016100006E2;2,020000000E2;3,794526746E1;3,306751633E1;2,887266350E1;8,000000000E0
6,378639313E2;5,593011495E1;-3,013455810E0;1,722717861E3;1,776406250E3;1,020699997E2;2,025000000E2;3,804744575E1;3,350259018E1;2,869283676E1;7,000000000E0
6,388639313E2;5,592927002E1;-3,014100640E0;1,722451084E3;1,776141357E3;1,021999969E2;2,031000061E2;3,815146849E1;3,321088028E1;2,797823715E1;9,000000000E0
6,398639313E2;5,592842160E1;-3,014804180E0;1,723004250E3;1,776696533E3;1,024899979E2;2,036999969E2;3,826131844E1;3,222285843E1;2,671205902E1;9,000000000E0
6,408639313E2;5,592748760E1;-3,015378710E0;1,725202410E3;1,778896484E3;1,033700027E2;2,036999969E2;3,836288083E1;3,074071503E1;2,548124695E1;1,000000000E1
6,418639313E2;5,592664718E1;-3,016017170E0;1,725489606E3;1,779185547E3;1,029700012E2;2,041999969E2;3,846666983E1;3,123994255E1;2,525682068E1;8,000000000E0
6,428639313E2;5,592580018E1;-3,016717210E0;1,726266415E3;1,779964355E3;1,030699997E2;2,045000000E2;3,857273915E1;2,929124832E1;2,499721336E1;8,000000000E0
6,438639313E2;5,592492392E1;-3,017390040E0;1,729007620E3;1,782707520E3;1,033000031E2;2,045000000E2;3,867689642E1;2,770119095E1;2,423565674E1;8,000000000E0
6,448639313E2;5,592407529E1;-3,018097810E0;1,729529042E3;1,783230957E3;1,032699966E2;2,046999969E2;3,878132252E1;2,717532539E1;2,442988777E1;7,000000000E0
6,458639313E2;5,592321424E1;-3,018766930E0;1,732577882E3;1,786281738E3;1,033099976E2;2,048000031E2;3,888338177E1;2,670580101E1;2,411673737E1;8,000000000E0
6,468639313E2;5,592237686E1;-3,019437640E0;1,733513941E3;1,787219727E3;1,030999985E2;2,048000031E2;3,898902322E1;2,732109261E1;2,483498764E1;8,000000000E0
6,478639313E2;5,592151607E1;-3,020155190E0;1,736609067E3;1,790316895E3;1,028799973E2;2,051999969E2;3,909491147E1;2,823800278E1;2,581759644E1;9,000000000E0
6,488639313E2;5,592066518E1;-3,020918260E0;1,738147953E3;1,791857910E3;1,037900009E2;2,056000061E2;3,919674646E1;2,884551048E1;2,663676262E1;9,000000000E0
6,498639313E2;5,591983715E1;-3,021616550E0;1,739400368E3;1,793112305E3;1,034499969E2;2,058000031E2;3,930005858E1;2,933949471E1;2,727934265E1;9,000000000E0
6,508639313E2;5,591899293E1;-3,022308950E0;1,740259720E3;1,793973633E3;1,040599976E2;2,053999939E2;3,940045971E1;3,041271210E1;2,807993507E1;9,000000000E0
6,518639313E2;5,591816547E1;-3,022953840E0;1,741879436E3;1,795595215E3;1,026100006E2;2,051999969E2;3,950496366E1;3,132439232E1;2,884596252E1;9,000000000E0
6,528639313E2;5,591732310E1;-3,023697550E0;1,742840245E3;1,796558105E3;1,032900009E2;2,055000000E2;3,961032700E1;3,032251358E1;2,842049789E1;1,000000000E1
6,538639313E2;5,591647077E1;-3,024436320E0;1,743483432E3;1,797203369E3;1,034300003E2;2,055000000E2;3,971296899E1;2,973769951E1;2,809483528E1;9,000000000E0
6,548639313E2;5,591563749E1;-3,025145000E0;1,744289048E3;1,798010986E3;1,033899994E2;2,056000061E2;3,981549094E1;2,914044380E1;2,770430946E1;8,000000000E0
6,558639313E2;5,591479930E1;-3,025830370E0;1,745395248E3;1,799119141E3;1,035800018E2;2,111000061E2;3,991546474E1;2,863150215E1;2,755268669E1;8,000000000E0
6,568639313E2;5,591399172E1;-3,026535520E0;1,745476768E3;1,799202637E3;1,026299973E2;2,090000000E2;4,001986959E1;2,841301918E1;2,724951935E1;7,000000000E0
6,578639313E2;5,591315104E1;-3,027281650E0;1,746444900E3;1,800172852E3;1,034800034E2;2,086999969E2;4,012341413E1;2,722416496E1;2,656937599E1;7,000000000E0
6,588639313E2;5,591230529E1;-3,027976920E0;1,746957083E3;1,800687012E3;1,045299988E2;2,080000000E2;4,022736464E1;2,665170860E1;2,609292030E1;7,000000000E0
6,598639313E2;5,591147169E1;-3,028731920E0;1,747986726E3;1,801718750E3;1,034199982E2;2,076000061E2;4,033093626E1;2,605282974E1;2,557088280E1;6,000000000E0
6,608639313E2;5,591063227E1;-3,029452170E0;1,748236654E3;1,801970703E3;1,030299988E2;2,068999939E2;4,043662324E1;2,435876465E1;2,410500526E1;7,000000000E0
6,618639313E2;5,590977658E1;-3,030190350E0;1,749714075E3;1,803450195E3;1,043000031E2;2,066000061E2;4,054010258E1;2,434609985E1;2,412614632E1;7,000000000E0
6,628639313E2;5,590893070E1;-3,030882550E0;1,750463571E3;1,804201660E3;1,039800034E2;2,061000061E2;4,064561364E1;2,374859428E1;2,373067665E1;8,000000000E0
6,638639313E2;5,590807831E1;-3,031626350E0;1,751321842E3;1,805062012E3;1,042500000E2;2,063999939E2;4,074866376E1;2,351144791E1;2,357356262E1;8,000000000E0
6,648639313E2;5,590724320E1;-3,032343220E0;1,751762213E3;1,805504395E3;1,042200012E2;2,056999969E2;4,085357052E1;2,216440201E1;2,234534645E1;8,000000000E0
6,658639313E2;5,590639414E1;-3,033077040E0;1,752640040E3;1,806384277E3;1,040199966E2;2,053999939E2;4,095500620E1;2,163173294E1;2,181944275E1;8,000000000E0
6,668639313E2;5,590556970E1;-3,033773630E0;1,753248917E3;1,806995117E3;1,034100037E2;2,051999969E2;4,105770486E1;2,125686073E1;2,154684639E1;7,000000000E0
6,678639313E2;5,590474439E1;-3,034513230E0;1,753660195E3;1,807408447E3;1,036200027E2;2,051999969E2;4,116216676E1;2,084084320E1;2,109849358E1;7,000000000E0
6,688639313E2;5,590389924E1;-3,035245030E0;1,754606635E3;1,808356934E3;1,039700012E2;2,053000031E2;4,126411712E1;2,031214333E1;2,051803970E1;6,000000000E0
6,698639313E2;5,590306816E1;-3,035935780E0;1,755017036E3;1,808769287E3;1,035999985E2;2,050000000E2;4,136882472E1;1,982478333E1;1,994926453E1;7,000000000E0
6,708639313E2;5,590222964E1;-3,036700130E0;1,755304966E3;1,809059326E3;1,036999969E2;2,051999969E2;4,147283842E1;1,918594170E1;1,928536224E1;7,000000000E0
6,718639313E2;5,590138515E1;-3,037417740E0;1,756399631E3;1,810156006E3;1,041200027E2;2,053999939E2;4,157790273E1;1,955934525E1;1,962491989E1;8,000000000E0
6,728639313E2;5,590053588E1;-3,038156460E0;1,756743517E3;1,810501953E3;1,045299988E2;2,051000061E2;4,168194546E1;1,891877747E1;1,898433495E1;7,000000000E0
6,738639313E2;5,589968903E1;-3,038866230E0;1,756576723E3;1,810337158E3;1,044400024E2;2,035000000E2;4,178372384E1;1,814244080E1;1,808223534E1;7,000000000E0
6,748639313E2;5,589886850E1;-3,039589730E0;1,756435308E3;1,810197754E3;1,032099991E2;2,036000061E2;4,188553522E1;1,839853668E1;1,844617462E1;7,000000000E0
6,758639313E2;5,589804503E1;-3,040303720E0;1,756373746E3;1,810138184E3;1,030800018E2;2,041000061E2;4,198832435E1;1,872166824E1;1,863754654E1;6,000000000E0
6,768639313E2;5,589722390E1;-3,041061000E0;1,756252770E3;1,810019287E3;1,025199966E2;2,058000031E2;4,209226000E1;1,759987831E1;1,752422333E1;6,000000000E0
6,778639313E2;5,589637827E1;-3,041771300E0;1,755671428E3;1,809439941E3;1,026100006E2;2,056999969E2;4,219455631E1;1,713015938E1;1,711720467E1;5,000000000E0
6,788639313E2;5,589554222E1;-3,042455970E0;1,756480527E3;1,810250977E3;1,030199966E2;2,053999939E2;4,229497926E1;1,799667931E1;1,786118889E1;4,000000000E0
6,798639313E2;5,589472177E1;-3,043129210E0;1,756286486E3;1,810058838E3;1,024899979E2;2,050000000E2;4,239595032E1;1,880694389E1;1,829575539E1;5,000000000E0
6,808639313E2;5,589390210E1;-3,043826130E0;1,756476675E3;1,810250977E3;1,019700012E2;2,053999939E2;4,249530002E1;2,012725449E1;1,905199432E1;5,000000000E0
6,818639313E2;5,589309152E1;-3,044496400E0;1,756219903E3;1,809996094E3;1,010999985E2;2,051000061E2;4,259837001E1;2,107412148E1;1,920171738E1;5,000000000E0
6,828639313E2;5,589225657E1;-3,045214320E0;1,756762090E3;1,810540283E3;1,016299973E2;2,051999969E2;4,270110912E1;2,155377579E1;1,897664070E1;5,000000000E0
6,838639313E2;5,589139372E1;-3,045803580E0;1,759420985E3;1,813200928E3;1,016900024E2;2,038999939E2;4,280294029E1;2,129276657E1;1,797768974E1;6,000000000E0
6,848639313E2;5,589056031E1;-3,046480520E0;1,759883670E3;1,813665527E3;1,017300034E2;2,043000031E2;4,290547089E1;2,149869537E1;1,712251472E1;6,000000000E0
6,858639313E2;5,588971605E1;-3,047141660E0;1,760318794E3;1,814102539E3;1,018700027E2;2,041999969E2;4,301042510E1;2,285853386E1;1,706875610E1;6,000000000E0
6,868639313E2;5,588885058E1;-3,047813300E0;1,760626199E3;1,814411865E3;1,029199982E2;2,021000061E2;4,311250777E1;2,199501801E1;1,617692757E1;7,000000000E0
6,878639313E2;5,588799922E1;-3,048425850E0;1,760763814E3;1,814551270E3;1,029899979E2;2,025000000E2;4,321447169E1;2,194149780E1;1,563029861E1;7,000000000E0
6,888639313E2;5,588717126E1;-3,049128640E0;1,760700329E3;1,814489746E3;1,023099976E2;2,016999969E2;4,331982440E1;2,141127396E1;1,493687248E1;7,000000000E0
6,898639313E2;5,588630687E1;-3,049820400E0;1,761140751E3;1,814932129E3;1,027200012E2;2,011999969E2;4,342219462E1;2,209614563E1;1,511992168E1;7,000000000E0
6,908639313E2;5,588545049E1;-3,050422920E0;1,761298893E3;1,815092041E3;1,029700012E2;2,013999939E2;4,363072969E1;2,316529083E1;1,541546822E1;6,000000000E0
6,928632098E2;5,588374015E1;-3,051794640E0;1,762262784E3;1,816059814E3;1,039300003E2;2,028000031E2;4,373432877E1;2,517772102E1;1,629691696E1;5,000000000E0
6,938632796E2;5,588288038E1;-3,052434610E0;1,762320263E3;1,816119141E3;1,042600021E2;2,028999939E2;4,384044026E1;2,580816650E1;1,634541321E1;6,000000000E0
6,948665850E2;5,588201027E1;-3,053133280E0;1,762717946E3;1,816518799E3;1,050299988E2;2,030000000E2;4,394266575E1;2,681694031E1;1,676018906E1;6,000000000E0
6,958632102E2;5,588117442E1;-3,053815750E0;1,762663536E3;1,816466309E3;1,041800003E2;2,031000061E2;4,404692811E1;2,778587151E1;1,702309608E1;7,000000000E0
6,968630136E2;5,588033334E1;-3,054554660E0;1,763762081E3;1,817566895E3;1,039300003E2;2,050000000E2;4,415011307E1;2,765284538E1;1,724343872E1;6,000000000E0
6,978645596E2;5,587953180E1;-3,055388290E0;1,765041607E3;1,818848633E3;1,040400009E2;2,015000000E2;4,425546763E1;2,746095276E1;1,708855438E1;7,000000000E0
6,988645596E2;5,587870751E1;-3,056221150E0;1,766053544E3;1,819862793E3;1,039000015E2;2,068999939E2;4,435838847E1;2,810198593E1;1,731834793E1;8,000000000E0
6,998645596E2;5,587794047E1;-3,057144660E0;1,767596088E3;1,821407715E3;1,033799973E2;2,108000031E2;4,446235924E1;2,589747620E1;1,640175819E1;8,000000000E0
7,008645596E2;5,587713085E1;-3,057978520E0;1,769352662E3;1,823166504E3;1,032300034E2;2,118999939E2;4,456697276E1;2,091589165E1;1,503068924E1;9,000000000E0
7,018645596E2;5,587627555E1;-3,058677140E0;1,769895623E3;1,823711426E3;1,035999985E2;2,083000031E2;4,467222576E1;1,861462593E1;1,459727287E1;8,000000000E0
7,028645596E2;5,587540607E1;-3,059344090E0;1,772138837E3;1,825956543E3;1,036600037E2;2,071000061E2;4,478112113E1;1,775362015E1;1,482673359E1;8,000000000E0
7,038645596E2;5,587447411E1;-3,059880390E0;1,777724570E3;1,831543945E3;1,031600037E2;2,076999969E2;4,488865640E1;1,772190857E1;1,495544338E1;8,000000000E0
7,048645596E2;5,587359765E1;-3,060608990E0;1,778706423E3;1,832527832E3;1,041900024E2;2,073999939E2;4,499678178E1;1,847657394E1;1,583012581E1;8,000000000E0
7,058645596E2;5,587268827E1;-3,061222790E0;1,783125263E3;1,836948486E3;1,040699997E2;2,033000031E2;4,510415857E1;1,899300575E1;1,640959167E1;8,000000000E0
7,068645596E2;5,587177913E1;-3,061803020E0;1,787092513E3;1,840917480E3;1,045400009E2;2,053999939E2;4,521341079E1;1,900369453E1;1,655903435E1;8,000000000E0
7,078645596E2;5,587086639E1;-3,062451250E0;1,791792042E3;1,845618896E3;1,043700027E2;2,030000000E2;4,532161901E1;2,032547379E1;1,794214249E1;7,000000000E0
7,088645596E2;5,586996193E1;-3,063091290E0;1,794323869E3;1,848152588E3;1,052399979E2;1,910000000E2;4,563695434E1;2,024850655E1;1,787559891E1;8,000000000E0
7,118630021E2;5,586737128E1;-3,065147310E0;1,794876910E3;1,848711426E3;1,042799988E2;2,131999969E2;4,573513801E1;2,408283615E1;1,897828865E1;8,000000000E0
7,128625761E2;5,586657848E1;-3,065840150E0;1,795347906E3;1,849184326E3;1,025000000E2;2,133999939E2;4,584025513E1;2,530146408E1;1,998730659E1;8,000000000E0
7,138626096E2;5,586572332E1;-3,066558270E0;1,795352504E3;1,849190918E3;1,025899963E2;2,118999939E2;4,594323468E1;2,678430748E1;2,071919060E1;9,000000000E0
7,148629048E2;5,586488189E1;-3,067247760E0;1,796318353E3;1,850158691E3;1,026999969E2;2,076000061E2;4,605022261E1;2,652935028E1;2,047915459E1;7,000000000E0
7,158632240E2;5,586401831E1;-3,068003810E0;1,796711297E3;1,850553711E3;1,031500015E2;2,015000000E2;4,615387220E1;2,630949402E1;1,986159706E1;7,000000000E0
7,168621187E2;5,586319264E1;-3,068774750E0;1,797043686E3;1,850888184E3;1,034199982E2;2,076999969E2;4,625970788E1;2,774313927E1;2,033277702E1;7,000000000E0
7,178621187E2;5,586230951E1;-3,069407320E0;1,797682970E3;1,851529297E3;1,046399994E2;2,061999969E2;4,636391269E1;2,884448051E1;2,057182884E1;8,000000000E0
7,188621187E2;5,586147551E1;-3,070168920E0;1,797656488E3;1,851504883E3;1,044100037E2;2,103999939E2;4,646913979E1;2,971006584E1;2,021673965E1;7,000000000E0
7,198621187E2;5,586061351E1;-3,070864770E0;1,797592530E3;1,851442871E3;1,044400024E2;2,048000031E2;4,824384661E1;3,201964951E1;2,067840195E1;6,000000000E0
7,368625548E2;5,584626619E1;-3,083323380E0;1,802787422E3;1,856671875E3;1,056100006E2;2,058000031E2;4,834861848E1;5,753779221E1;2,340007401E1;6,000000000E0
7,378635953E2;5,584541822E1;-3,084055100E0;1,802473655E3;1,856360107E3;1,054400024E2;2,058000031E2;4,929560955E1;6,365883636E1;2,420543480E1;3,000000000E0
7,468636013E2;5,583762822E1;-3,090185700E0;1,809420396E3;1,863323975E3;1,050699997E2;2,128000031E2;4,939412581E1;7,511571503E1;3,706849289E1;3,000000000E0
7,478643048E2;5,583679969E1;-3,090744590E0;1,810096260E3;1,864001465E3;1,028799973E2;2,096999969E2;5,143356574E1;7,951577759E1;3,917453766E1;7,000000000E0
7,668660184E2;5,581983783E1;-3,103170820E0;1,820122582E3;1,874062988E3;1,051399994E2;2,045000000E2;5,175242883E1;5,799998474E1;4,244899368E1;7,000000000E0
7,698628859E2;5,581721629E1;-3,105239520E0;1,822079262E3;1,876025391E3;1,054599991E2;2,023000031E2;5,185800177E1;5,086723328E1;3,941196442E1;6,000000000E0
7,708623711E2;5,581633799E1;-3,105881330E0;1,822073545E3;1,876021484E3;1,059899979E2;2,018000031E2;5,196622734E1;5,093860245E1;3,776644516E1;6,000000000E0
7,718638771E2;5,581543529E1;-3,106529050E0;1,822857110E3;1,876806885E3;1,061200027E2;2,015000000E2;5,207336371E1;4,865593719E1;3,586380768E1;6,000000000E0
7,728642055E2;5,581454080E1;-3,107166360E0;1,822891677E3;1,876843262E3;1,063000031E2;2,013000031E2;8,251895379E1;4,987774658E1;3,431860352E1;7,000000000E0
1,029651542E3;5,556508111E1;-3,308037880E0;3,753055777E3;3,807530273E3;1,128399963E2;2,038999939E2;8,258380909E1;6,071453857E1;3,775996399E1;7,000000000E0
1,029720205E3;5,556454765E1;-3,308454910E0;3,753161189E3;3,807636719E3;1,128399963E2;2,038999939E2;8,391267517E1;6,183525085E1;3,775996399E1;7,000000000E0
1,030724447E3;5,556753112E1;-3,287990110E0;2,016821761E3;2,071257080E3;1,089000015E2;2,013000031E2;8,393999267E1;1,689785156E2;5,263433075E1;4,000000000E0
1,031724227E3;5,556758201E1;-3,288415170E0;2,019286309E3;2,073722412E3;1,036399994E2;2,025000000E2;9,124254939E1;1,733145447E2;6,179864883E1;2,000000000E0
1,086390230E3;5,551173464E1;-3,349528260E0;4,027739337E3;4,082315430E3;1,131999969E2;2,038999939E2;9,140758268E1;6,389400005E0;4,782105923E0;3,000000000E0
1,087138340E3;5,551057769E1;-3,351170070E0;3,974002379E3;4,028582031E3;1,132799988E2;2,033999939E2;9,151742686E1;2,766865349E1;1,031533337E1;2,200000000E1
1,088138105E3;5,550967491E1;-3,351878320E0;3,975407898E3;4,029989258E3;1,126600037E2;2,033000031E2;9,161768123E1;2,299083900E1;9,329820633E0;1,100000000E1
1,089136885E3;5,550877344E1;-3,351850340E0;3,993225436E3;4,047807129E3;1,126600037E2;2,035000000E2;9,172629381E1;1,405926800E1;1,336449242E1;1,100000000E1
1,090137622E3;5,550786767E1;-3,352495980E0;4,010442596E3;4,065025879E3;1,126500015E2;2,035000000E2;9,184211160E1;1,238921833E1;1,335675526E1;1,600000000E1
1,091139098E3;5,550690362E1;-3,353192290E0;4,028461394E3;4,083046387E3;1,128499985E2;2,035000000E2;9,195570797E1;9,716760635E0;1,106434631E1;1,900000000E1
1,092137889E3;5,550596915E1;-3,353921270E0;4,034901043E3;4,089487793E3;1,127500000E2;2,033000031E2;9,206870614E1;8,434103012E0;9,847974777E0;2,000000000E1
1,093137889E3;5,550503967E1;-3,354646670E0;4,041881718E3;4,096470215E3;1,130699997E2;2,036000061E2;9,218156470E1;7,420418262E0;8,575977325E0;2,200000000E1
1,094137889E3;5,550411014E1;-3,355366350E0;4,049356544E3;4,103946777E3;1,129700012E2;2,033000031E2;9,229587282E1;6,847008228E0;8,011957169E0;2,200000000E1
1,095137889E3;5,550316905E1;-3,356096780E0;4,052358202E3;4,106950195E3;1,131699982E2;2,033000031E2;9,240964330E1;6,004244804E0;7,037189007E0;2,300000000E1
1,096137889E3;5,550222848E1;-3,356807860E0;4,058667026E3;4,113260742E3;1,134000015E2;2,033999939E2;9,252335701E1;5,594784260E0;6,665650845E0;2,500000000E1
1,097137889E3;5,550128871E1;-3,357519930E0;4,059837665E3;4,114433105E3;1,143399963E2;2,033999939E2;9,263834792E1;5,411440372E0;6,364141941E0;2,400000000E1
1,098137889E3;5,550034135E1;-3,358252060E0;4,060433557E3;4,115030762E3;1,150800018E2;2,035000000E2;9,275329127E1;5,297794819E0;6,147789001E0;2,500000000E1
1,099137889E3;5,549939138E1;-3,358971640E0;4,060715397E3;4,115313965E3;1,147300034E2;2,031999969E2;9,286594990E1;5,437688828E0;5,991154194E0;2,400000000E1
1,100137889E3;5,549845936E1;-3,359673050E0;4,061471599E3;4,116071289E3;1,135800018E2;2,031000061E2;9,298102083E1;5,104087353E0;5,792729378E0;2,400000000E1
1,101137889E3;5,549750966E1;-3,360398820E0;4,062320045E3;4,116920898E3;1,143300018E2;2,033000031E2;9,309431894E1;4,962105751E0;5,624626160E0;2,400000000E1
1,102137889E3;5,549657452E1;-3,361113100E0;4,064676324E3;4,119278320E3;1,139599991E2;2,033999939E2;9,320786396E1;5,066936493E0;5,525162697E0;2,100000000E1
1,103137889E3;5,549563241E1;-3,361808450E0;4,065845139E3;4,120448242E3;1,142799988E2;2,028999939E2;9,332320030E1;5,258622169E0;5,475085735E0;1,700000000E1
1,104137889E3;5,549468177E1;-3,362540920E0;4,067019747E3;4,121624023E3;1,153099976E2;2,031999969E2;9,343759400E1;5,365375042E0;5,433218956E0;1,800000000E1
1,105137889E3;5,549373751E1;-3,363261740E0;4,067899943E3;4,122505371E3;1,148399963E2;2,033999939E2;9,355154615E1;5,455852509E0;5,533837795E0;1,800000000E1
1,106137889E3;5,549279099E1;-3,363955160E0;4,069629800E3;4,124236328E3;1,142600021E2;2,030000000E2;9,366555811E1;5,746747017E0;5,669698238E0;2,000000000E1
1,107137889E3;5,549185081E1;-3,364677320E0;4,071599838E3;4,126207520E3;1,138799973E2;2,031999969E2;9,378066123E1;5,461512566E0;5,473607063E0;1,900000000E1
1,108137889E3;5,549089882E1;-3,365394860E0;4,074554262E3;4,129163086E3;1,148499985E2;2,031999969E2;9,389409555E1;4,934078693E0;5,221204281E0;2,100000000E1
1,109137889E3;5,548995620E1;-3,366083370E0;4,076204540E3;4,130814453E3;1,140299988E2;2,028000031E2;9,400866826E1;5,038809299E0;5,206860065E0;2,300000000E1
1,110137889E3;5,548900844E1;-3,366796920E0;4,076138952E3;4,130750000E3;1,143099976E2;2,030000000E2;9,412243278E1;5,362712860E0;5,298811913E0;2,300000000E1
1,111137889E3;5,548807217E1;-3,367524980E0;4,075995700E3;4,130607910E3;1,140199966E2;2,040000000E2;9,423531876E1;6,160118103E0;5,465686321E0;2,300000000E1
